                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0529,                0.62222,                 1.0068,                0.75511,                0.66848,                0.73781,                0.45486,                 1.0982,                0.60244,                 1.0902,              0.0012423,              0.0012423,              0.0012423
                     36,                 1.0648,                0.63213,                 1.0151,                0.76172,                0.64396,                0.72651,                 0.4648,                 1.0546,                0.59457,                 1.0638,              0.0012366,              0.0012366,              0.0012366
                     37,                 1.0514,                0.63191,                 1.0149,                0.70795,                0.66836,                0.69881,                0.42915,                 1.0498,                0.59011,                 1.0538,              0.0012309,              0.0012309,              0.0012309
                     38,                 1.0476,                0.63001,                 1.0076,                0.82744,                0.66084,                0.74275,                0.45972,                 1.0637,                0.62067,                 1.0624,              0.0012253,              0.0012253,              0.0012253
                     39,                 1.0224,                0.61006,                      1,                0.80145,                 0.6352,                0.71261,                0.44412,                 1.0381,                 0.6099,                 1.0499,              0.0012196,              0.0012196,              0.0012196
                     40,                 1.0146,                0.60642,                0.99861,                0.77831,                0.63946,                0.71804,                0.44869,                 1.0476,                0.63799,                  1.052,               0.001214,               0.001214,               0.001214
                     41,                 1.0333,                0.60263,                0.99727,                0.77361,                0.73403,                0.77249,                0.47599,                 1.0834,                0.59966,                 1.0724,              0.0012083,              0.0012083,              0.0012083
                     42,                 1.0255,                0.59218,                 1.0022,                0.90879,                0.62602,                0.75069,                0.45417,                 1.0609,                0.60021,                 1.0546,              0.0012026,              0.0012026,              0.0012026
                     43,                 1.0361,                0.60787,                0.99705,                0.78352,                 0.6248,                0.70769,                0.43463,                 1.0908,                0.59602,                 1.0703,               0.001197,               0.001197,               0.001197
                     44,                 1.0181,                0.60034,                 0.9962,                0.77978,                0.62705,                0.70823,                0.43576,                 1.0651,                0.60067,                 1.0595,              0.0011913,              0.0011913,              0.0011913
